,model,Random
0,0.0,0.0
20969,0.10398750946343631,0.004467544479566893
41938,0.16297041590400657,0.009488238079309175
62907,0.21922832986224164,0.015388553766315394
83876,0.27037564858949603,0.020409939121718245
104845,0.3095346625628672,0.024691836120672498
125814,0.3412274119598265,0.03006527150095454
146783,0.36937962013778647,0.035137398976694094
167752,0.39498341647366375,0.04014118237131984
188721,0.41840331368978384,0.045337307273611724
209690,0.4389814364686641,0.049660063912299414
230659,0.45812209136218573,0.05538369264164272
251628,0.4753064296951024,0.059687691291994874
272597,0.49020951423575837,0.06438285739398326
293566,0.5055353246851976,0.06933336941458337
314535,0.5187562653481136,0.0741929091829835
335504,0.5315744267656769,0.07880284352794222
356473,0.5445108021612322,0.08339924796849325
377442,0.5575093045349043,0.08845984733292553
398411,0.5671121706424913,0.09417881564689942
419380,0.5770924009729149,0.098397507334501
440349,0.5879883441495165,0.1038985233714311
461318,0.5994399157201546,0.10830733319075396
482287,0.6111122402820648,0.11283138353380792
503256,0.622423536171816,0.11767606062908764
524225,0.6348437013899767,0.12312569787041647
545194,0.6445800825999888,0.12736057498671588
566163,0.6542146004924145,0.13267081212912024
587132,0.6645294637118433,0.1376557362518404
608101,0.6740758831107905,0.14246411917847565
629070,0.6835627211651254,0.14765021752966145
650039,0.6919024936131865,0.15258096825465392
671008,0.7003066525791668,0.1579324459089344
691977,0.7092867823766807,0.16273068293614346
712946,0.71757066414673,0.16709929062913068
733915,0.7258467474205345,0.1727649241573335
754884,0.7338786889520856,0.17784639488634474
775853,0.741725415313273,0.1827554353849936
796822,0.7493427579986923,0.18813607523027198
817791,0.7564156611191846,0.19209034911147854
838760,0.7632387212641208,0.19727288310819008
859729,0.7699151570407763,0.20227570341927203
880698,0.7753492661392961,0.20896864633076803
901667,0.7816154635198413,0.21462083774650614
922636,0.7873426187412199,0.22012077728093637
943605,0.7929842155440922,0.2255299626989074
964574,0.7982306134676075,0.23115323446856248
985543,0.8034568769091879,0.23657515693541833
1006512,0.8081205933565929,0.24208371049760144
1027481,0.8132355963736962,0.24659393833909368
1048450,0.8182441186709817,0.25179835698216946
1069419,0.82297574567576,0.2569310600581019
1090388,0.8273196270102148,0.26218105923899937
1111357,0.8321207288147997,0.26706530214406676
1132326,0.8361192467508903,0.2736167638158927
1153295,0.8400280188732256,0.27795486429877464
1174264,0.8433937576804318,0.2838045890910714
1195233,0.8474125443328046,0.2884673955446396
1216202,0.851375078416833,0.2930639270517759
1237171,0.8555420298143342,0.29798795034999587
1258140,0.8584163054091322,0.3028912252495545
1279109,0.8616921323519422,0.308058348975268
1300078,0.8654846775433501,0.3132254152910802
1321047,0.8684187673995212,0.31855882793750084
1342016,0.8719652455421525,0.32423640505553014
1362985,0.8748976045336189,0.3282307641963662
1383954,0.878361469139753,0.33377775728904713
1404923,0.8809892942756671,0.33878338662315
1425892,0.883533589691015,0.34341897891873846
1446861,0.8866868457229197,0.34859274712709704
1467830,0.8898285304534111,0.3532724262952435
1488799,0.8921085866148724,0.358105764779838
1509768,0.894594752419495,0.3631021474596989
1530737,0.8970102116556145,0.36725552847378995
1551706,0.8991654820074808,0.3718631570042159
1572675,0.9016954501331116,0.3765516873199653
1593644,0.9046604869375482,0.38176086862935144
1614613,0.9069898654118479,0.38670926224245306
1635582,0.9092845107264276,0.3917666398823645
1656551,0.9115931456782993,0.39645586095008467
1677520,0.9143121210068348,0.4018102803137747
1698489,0.9164184283458106,0.4071431114281478
1719458,0.9185305451847471,0.4134847122340936
1740427,0.9204384829641367,0.4175421133649423
1761396,0.9221985811480531,0.42282626951647745
1782365,0.9236964326363278,0.42792425957243196
1803334,0.9251387138106928,0.4337635132364973
1824303,0.9265305771989059,0.43889618805474107
1845272,0.9282798323899322,0.44342055330419966
1866241,0.930075631217521,0.4485724696261257
1887210,0.9314970639191488,0.4530823893494607
1908179,0.9334109929553136,0.457982694226162
1929148,0.9351929357040276,0.46406229043593666
1950117,0.9364052856732126,0.47088498231592835
1971086,0.9376974597933214,0.4747981821734694
1992055,0.939355265524848,0.4794684810254697
2013024,0.9405739162887891,0.48478565386504313
2033993,0.9418042025793836,0.4894713203435964
2054962,0.9430165174433116,0.4941202607914417
2075931,0.9444190277275288,0.49977951154587846
2096900,0.9454128306355918,0.5044502019135365
2117869,0.946195632951268,0.5083289903276477
2138838,0.947495751975804,0.5134084585440805
2159807,0.9484859865302182,0.518103672561701
2180776,0.9492509458794253,0.523555444953631
2201745,0.9502527589636616,0.5284955180730906
2222714,0.9509401937970114,0.5336579027991122
2243683,0.951807624608073,0.5381128849877356
2264652,0.9526469178041838,0.5435225554308377
2285621,0.9534930894760916,0.5486019898081224
2306590,0.9540300082553438,0.552656332550339
