,model,Random
0,0.0,0.0
20969,0.06356285235556657,0.004467544479566893
41938,0.11079460095882017,0.009488238079309175
62907,0.14523228975522345,0.015388553766315394
83876,0.1736960672954055,0.020409939121718245
104845,0.1937172381707457,0.024691836120672498
125814,0.21562666814716006,0.03006527150095454
146783,0.23597687325780617,0.035137398976694094
167752,0.25912947349676957,0.04014118237131984
188721,0.2834182219505072,0.045337307273611724
209690,0.30558178679508463,0.049660063912299414
230659,0.3260143867981288,0.05538369264164272
251628,0.34567945517954474,0.059687691291994874
272597,0.36258083888169723,0.06438285739398326
293566,0.38118917737028013,0.06933336941458337
314535,0.39998652178660915,0.0741929091829835
335504,0.419011304968428,0.07880284352794222
356473,0.4370486333076628,0.08339924796849325
377442,0.4536364089017814,0.08845984733292553
398411,0.47034956629095664,0.09417881564689942
419380,0.48800011080335837,0.098397507334501
440349,0.5039806440631059,0.1038985233714311
461318,0.5187993382511971,0.10830733319075396
482287,0.5348886982241843,0.11283138353380792
503256,0.5498319553013206,0.11767606062908764
524225,0.5644396103473142,0.12312569787041647
545194,0.5796989949411632,0.12736057498671588
566163,0.5929324916371811,0.13267081212912024
587132,0.6057597854976519,0.1376557362518404
608101,0.6178459667591899,0.14246411917847565
629070,0.6293187910389643,0.14765021752966145
650039,0.6389995731484969,0.15258096825465392
671008,0.6507394812795003,0.1579324459089344
691977,0.6619307294954371,0.16273068293614346
712946,0.671396402334908,0.16709929062913068
733915,0.6809913140677237,0.1727649241573335
754884,0.6914115768688909,0.17784639488634474
775853,0.7002542609604216,0.1827554353849936
796822,0.7090858131862019,0.18813607523027198
817791,0.7171294098339154,0.19209034911147854
838760,0.724313956358021,0.19727288310819008
859729,0.7326051238234746,0.20227570341927203
880698,0.7399031659612569,0.20896864633076803
901667,0.7469575450973753,0.21462083774650614
922636,0.7541461864674613,0.22012077728093637
943605,0.760914093062228,0.2255299626989074
964574,0.7676897437196908,0.23115323446856248
985543,0.7730481548501367,0.23657515693541833
1006512,0.7790924765500528,0.24208371049760144
1027481,0.7845713378227054,0.24659393833909368
1048450,0.789699960172297,0.25179835698216946
1069419,0.7950739209192949,0.2569310600581019
1090388,0.8002982483307749,0.26218105923899937
1111357,0.8051034198449167,0.26706530214406676
1132326,0.8104588142256791,0.2736167638158927
1153295,0.8150525126907139,0.27795486429877464
1174264,0.8202176604868214,0.2838045890910714
1195233,0.8252834302354742,0.2884673955446396
1216202,0.8295926366987679,0.2930639270517759
1237171,0.8341947266759926,0.29798795034999587
1258140,0.838329269967309,0.3028912252495545
1279109,0.8429195487043175,0.308058348975268
1300078,0.8473249113118555,0.3132254152910802
1321047,0.8508382807921118,0.31855882793750084
1342016,0.8543432250925436,0.32423640505553014
1362985,0.858277902922867,0.3282307641963662
1383954,0.8619531041285139,0.33377775728904713
1404923,0.8662506402968416,0.33878338662315
1425892,0.8697647650837664,0.34341897891873846
1446861,0.873811599503912,0.34859274712709704
1467830,0.8770203446780839,0.3532724262952435
1488799,0.8800265027158538,0.358105764779838
1509768,0.8837749528412072,0.3631021474596989
1530737,0.8868122847152728,0.36725552847378995
1551706,0.889826929087721,0.3718631570042159
1572675,0.8927866682507479,0.3765516873199653
1593644,0.8959758614923625,0.38176086862935144
1614613,0.8989125596504086,0.38670926224245306
1635582,0.9019765844496659,0.3917666398823645
1656551,0.9043307480974263,0.39645586095008467
1677520,0.9068876334067782,0.4018102803137747
1698489,0.9095304359891552,0.4071431114281478
1719458,0.9114677133886883,0.4134847122340936
1740427,0.9136891872826485,0.4175421133649423
1761396,0.9164730063435134,0.42282626951647745
1782365,0.9184664578494417,0.42792425957243196
1803334,0.9203900873691264,0.4337635132364973
1824303,0.9222642333765243,0.43889618805474107
1845272,0.9242963962851057,0.44342055330419966
1866241,0.926144816049233,0.4485724696261257
1887210,0.9279083433474268,0.4530823893494607
1908179,0.9295747607323438,0.457982694226162
1929148,0.9309405698903518,0.46406229043593666
1950117,0.9321297137940803,0.47088498231592835
1971086,0.9338533675001376,0.4747981821734694
