,model,Random
0,0.0,0.0
20969,0.09552322679447875,0.004467544479566893
41938,0.16052120343963167,0.009488238079309175
62907,0.21371085238689408,0.015388553766315394
83876,0.2599551955588174,0.020409939121718245
104845,0.29827536627402995,0.024691836120672498
125814,0.3305733715617206,0.03006527150095454
146783,0.35875023869581907,0.035137398976694094
167752,0.38393330574412754,0.04014118237131984
188721,0.4057582574112093,0.045337307273611724
209690,0.4272658912501579,0.049660063912299414
230659,0.4449905155579156,0.05538369264164272
251628,0.4617776387232569,0.059687691291994874
272597,0.4783312135377157,0.06438285739398326
293566,0.4909658496339907,0.06933336941458337
314535,0.5035932263976501,0.0741929091829835
335504,0.5156038208833109,0.07880284352794222
356473,0.5267001513173302,0.08339924796849325
377442,0.538043067088738,0.08845984733292553
398411,0.5489410729874321,0.09417881564689942
419380,0.5581369771082023,0.098397507334501
440349,0.5671789582700775,0.1038985233714311
461318,0.5802127167322519,0.10830733319075396
482287,0.5900219150261521,0.11283138353380792
503256,0.5980298062667068,0.11767606062908764
524225,0.6072227776452761,0.12312569787041647
545194,0.6170758440488896,0.12736057498671588
566163,0.6266901502288291,0.13267081212912024
587132,0.6362963285443437,0.1376557362518404
608101,0.6452563533462383,0.14246411917847565
629070,0.6547375831826374,0.14765021752966145
650039,0.6635606878328952,0.15258096825465392
671008,0.6730288913769946,0.1579324459089344
691977,0.6815620801064771,0.16273068293614346
712946,0.6907529170891691,0.16709929062913068
733915,0.6990576134672402,0.1727649241573335
754884,0.7074296464830978,0.17784639488634474
775853,0.7161445432509191,0.1827554353849936
796822,0.7239769455121214,0.18813607523027198
817791,0.731854881056164,0.19209034911147854
838760,0.7396494923081156,0.19727288310819008
859729,0.7469535074130726,0.20227570341927203
880698,0.7535055046338093,0.20896864633076803
901667,0.7605233565254097,0.21462083774650614
922636,0.767164619584479,0.22012077728093637
943605,0.7734131052858582,0.2255299626989074
964574,0.7792139769038366,0.23115323446856248
985543,0.7842425656959829,0.23657515693541833
1006512,0.7892450403008632,0.24208371049760144
1027481,0.7945242502045945,0.24659393833909368
1048450,0.7996116526874004,0.25179835698216946
1069419,0.8039559677727999,0.2569310600581019
1090388,0.8088549145483738,0.26218105923899937
1111357,0.8134615888251963,0.26706530214406676
1132326,0.8183693991748724,0.2736167638158927
1153295,0.822804086937676,0.27795486429877464
1174264,0.8267046074664194,0.2838045890910714
1195233,0.8308970815342185,0.2884673955446396
1216202,0.8353481893574071,0.2930639270517759
1237171,0.8392345147755851,0.29798795034999587
1258140,0.8429044189716676,0.3028912252495545
1279109,0.8469189086757544,0.308058348975268
1300078,0.8506413071981495,0.3132254152910802
1321047,0.8536533519179151,0.31855882793750084
1342016,0.8576482659747848,0.32423640505553014
1362985,0.8611567073738202,0.3282307641963662
1383954,0.864391637700263,0.33377775728904713
1404923,0.8671935686594902,0.33878338662315
1425892,0.8693889853084658,0.34341897891873846
1446861,0.872328784586394,0.34859274712709704
1467830,0.8752931844245229,0.3532724262952435
1488799,0.8778868719224742,0.358105764779838
1509768,0.8801274960045669,0.3631021474596989
1530737,0.8831867985593702,0.36725552847378995
1551706,0.885625133289319,0.3718631570042159
1572675,0.887911680276185,0.3765516873199653
1593644,0.8902051485673443,0.38176086862935144
1614613,0.892688828545207,0.38670926224245306
1635582,0.8949643209829826,0.3917666398823645
1656551,0.897052178768646,0.39645586095008467
1677520,0.8992472384936147,0.4018102803137747
1698489,0.9016134082305914,0.4071431114281478
1719458,0.903587536090724,0.4134847122340936
1740427,0.9056232591650675,0.4175421133649423
1761396,0.9074698041964847,0.42282626951647745
1782365,0.9094895546874241,0.42792425957243196
1803334,0.9116450068839127,0.4337635132364973
1824303,0.9133010519408261,0.43889618805474107
1845272,0.9147755537742468,0.44342055330419966
1866241,0.9163770147771899,0.4485724696261257
1887210,0.917942367457281,0.4530823893494607
1908179,0.9193023041255101,0.457982694226162
1929148,0.9207480653190621,0.46406229043593666
1950117,0.9220982339287331,0.47088498231592835
1971086,0.9232019444652533,0.4747981821734694
1992055,0.9247442066495546,0.4794684810254697
2013024,0.925844815250527,0.48478565386504313
2033993,0.9272323147542885,0.4894713203435964
