,model
0,0.0
20969,0.08103285675434
41938,0.1448412778418598
62907,0.19783713604358638
83876,0.2354610309159125
104845,0.27111430077771265
125814,0.3051119635193531
146783,0.34026993505305964
167752,0.37071882305331505
188721,0.40101664701140144
209690,0.4281708715388186
230659,0.45102408803969246
251628,0.4696868651570366
272597,0.48632113475724115
293566,0.5060836692703459
314535,0.5232834863022895
335504,0.5379328698491637
356473,0.5519081699164012
377442,0.5653015962849193
398411,0.5812806678235267
419380,0.5958692596810427
440349,0.6108016813101348
461318,0.6250336177753162
482287,0.6365780933860452
503256,0.6469871315612894
524225,0.6577959408294155
545194,0.6697978105985092
566163,0.679842992313356
587132,0.6892711225150079
608101,0.6971832576850736
629070,0.7034456271881443
650039,0.7118510085037145
671008,0.719481173618539
691977,0.7285815279678395
712946,0.7363616505159047
733915,0.7422294798421964
754884,0.7478427500029243
775853,0.7552130614041902
796822,0.762402490207797
817791,0.7681535044030996
838760,0.7742622477094995
859729,0.7812738951411246
880698,0.7882416508803571
901667,0.7954315133439969
922636,0.8024072460241622
943605,0.8067204855205989
964574,0.8134831303319767
985543,0.8185291778275797
1006512,0.8222979867348158
1027481,0.8272232526683005
1048450,0.831709356896647
1069419,0.835774312025103
1090388,0.8390218758420496
1111357,0.8429544697619342
1132326,0.8474676408589502
1153295,0.8532113128554923
1174264,0.8562880623864935
1195233,0.8599206135989416
1216202,0.863388318100381
1237171,0.8676666552200697
1258140,0.870484179229251
1279109,0.8736431267873908
1300078,0.8764268103113967
1321047,0.8804067080762593
1342016,0.883437342915034
1362985,0.8865406650727843
1383954,0.8895014050113652
1404923,0.8920106201156688
1425892,0.8951349011298575
1446861,0.8978375955885962
1467830,0.9003783434787636
1488799,0.9031701357573823
1509768,0.9067758963018033
1530737,0.9084908884325404
1551706,0.9109507210888055
1572675,0.9134195668195961
1593644,0.9157480595544574
1614613,0.9186933831237459
1635582,0.9203571006253448
1656551,0.9224330533034184
1677520,0.9230549581995249
1698489,0.9259456337484364
1719458,0.9271885893205841
1740427,0.9285764041569617
1761396,0.929801486707006
1782365,0.9309760424289996
1803334,0.932169709205961
1824303,0.933842509968996
1845272,0.935511922678544
1866241,0.9366956479339645
1887210,0.9389148038737287
1908179,0.9397092634321809
1929148,0.9415697303355657
1950117,0.9435755613207034
1971086,0.9441890667783127
1992055,0.9452038758059962
2013024,0.9463369249156484
2033993,0.9473538308098046
2054962,0.9486158261054939
2075931,0.9485861940272422
2096900,0.9508380232327752
2117869,0.9520940144809217
2138838,0.953606351651769
2159807,0.9545880275433056
2180776,0.9549342430781518
2201745,0.9550051011474177
2222714,0.9558896188266683
2243683,0.9561341565958626
2264652,0.9571618397714747
2285621,0.9578775594740673
2306590,0.9590193960722557
2327559,0.9604248233615544
2348528,0.9613728151952395
2369497,0.9620273623187436
2390466,0.9630728455290753
2411435,0.9642214966839765
2432404,0.9655390818287218
2453373,0.9665199159595819
2474342,0.9668721113460735
2495311,0.9677351854890397
2516280,0.9686760947676
2537249,0.9684860517906808
2558218,0.9693220221182424
2579187,0.9700872146247581
2600156,0.9709759856820085
2621125,0.9716619964981253
2642094,0.9725090771407109
2663063,0.9732010223995996
2684032,0.9738384183029554
2705001,0.9749516630647982
2725970,0.9757036662660445
2746939,0.9766519655385493
2767908,0.9769091559442968
2788877,0.9779614928955528
2809846,0.978965477351742
2830815,0.9791541398681562
2851784,0.9795094604880099
2872753,0.9802531774718162
2893722,0.9808089606924792
2914691,0.9816792864399406
2935660,0.9825851669573604
2956629,0.9826919760882769
2977598,0.982764223199565
2998567,0.9832363669555662
3019536,0.9836438462559147
3040505,0.9847018883052039
3061474,0.9848966280768158
3082443,0.9852956053188693
3103412,0.9860282862411802
3124381,0.986631055096234
3145350,0.987697207165905
3166319,0.9878039611120387
3187288,0.9884541798525326
3208257,0.9885016207136921
3229226,0.9892137063636899
3250195,0.9889372052864234
3271164,0.9896188953836909
3292133,0.9901831123693283
3313102,0.9903390552494438
3334071,0.9907031764945291
3355040,0.9910006305478867
3376009,0.9912327943129515
3396978,0.9913522825897012
3417947,0.9911755586672262
3438916,0.9925458926522529
3459885,0.9936472097371858
3480854,0.9942015246055999
3501823,0.9947827756254732
3522792,0.9956227312598852
3543761,0.996197624732843
3564730,0.9960823048902862
3585699,0.9960271680379769
3606668,0.9966236564911466
3627637,0.9969076472404543
3648606,0.9971961899372644
3669575,0.9979468369265334
3690544,0.9981784515928933
3711513,0.998598412907812
3732482,0.9987773146163172
3753451,0.9986973266591452
3774420,0.9984060905325466
3795389,0.9988302658969074
3816358,0.9992573557138155
3837327,1.0000599422252072
3858296,0.9999608061320956
3879265,1.0004115137668792
3900234,1.0009069745389705
3921203,1.0003597675456828
3942172,1.0009176287006887
3963141,1.0025545443423973
3984110,1.0029428109227048
4005079,1.0032209905916818
4026048,1.0044369424295847
4047017,1.0044490808648026
4067986,1.003791099535309
4088955,1.0053724209880246
4109924,1.0062130949998909
4130893,1.0060688947944179
4151862,1.0027861841245715
4172831,1.0022894448789657
4193800,0.9999341841800066
